flow,speed
5,18.90
45,86.68
32,87.47
42,89.67
36,90.23
44,89.12
35,89.29
32,84.79
22,90.04
33,91.18
28,88.63
48,77.69
29,83.54
38,74.23
33,81.80
32,89.50
37,89.46
30,88.58
34,89.46
34,89.63
16,91.67
34,91.29
45,86.46
28,86.85
25,90.62
33,86.76
42,86.49
33,88.07
27,88.22
40,88.06
30,90.24
40,86.94
27,88.92
36,87.72
27,88.57
31,79.59
51,82.57
35,82.55
35,89.12
38,86.44
34,87.20
42,84.47
39,86.94
41,86.98
28,90.15
39,87.15
49,85.72
27,85.50
29,91.20
34,86.94
28,89.35
30,89.29
44,81.95
35,89.94
28,92.91
27,91.83
33,88.42
32,87.53
25,88.39
26,89.27
32,89.71
35,91.34
27,87.51
29,88.88
26,90.18
29,86.02
36,85.48
29,86.93
37,91.06
31,91.97
30,89.06
36,88.15
37,87.77
35,89.52
18,84.11
37,89.09
48,82.26
30,85.38
33,87.42
34,87.38
29,87.96
37,86.70
27,89.96
39,90.13
44,85.47
39,85.80
54,84.11
30,84.81
31,84.85
30,84.41
31,88.33
44,86.74
37,86.33
34,85.17
37,85.22
27,88.74
43,88.04
33,80.19
33,86.75
35,89.71
36,86.86
37,86.38
27,82.42
29,87.67
33,87.49
25,92.06
52,83.50
35,82.50
28,88.20
27,85.32
24,91.24
41,87.66
30,89.11
20,80.49
30,91.04
25,87.96
49,85.41
49,82.66
32,87.91
36,88.97
38,88.54
50,84.35
41,82.56
37,87.42
29,90.80
28,91.32
39,87.37
35,87.66
38,87.79
21,89.90
36,87.54
44,82.66
31,82.80
25,88.24
25,91.68
32,90.64
43,86.82
30,85.72
27,88.56
28,91.99
36,87.44
54,84.27
31,83.12
38,82.22
27,91.79
25,92.69
42,87.28
44,82.45
33,87.39
30,90.19
25,88.96
49,85.46
32,86.74
35,86.56
38,86.38
32,85.12
44,83.31
39,85.03
27,87.28
31,87.92
28,89.56
41,87.10
28,86.98
24,86.54
25,90.36
30,90.41
57,81.36
33,79.38
35,88.82
47,85.23
29,86.27
38,89.46
44,85.08
34,80.83
29,81.72
20,90.44
57,84.96
36,87.22
36,87.34
33,88.47
35,81.98
44,87.26
45,82.41
31,83.76
32,89.04
40,83.50
52,83.58
42,83.19
37,83.72
34,88.88
29,87.23
40,83.20
47,83.50
31,86.00
26,87.64
37,87.25
48,81.20
34,85.92
34,89.58
41,89.39
38,86.21
46,86.66
44,82.25
44,87.65
35,90.81
33,89.42
33,88.90
44,87.29
34,84.75
31,86.52
46,85.14
56,84.24
45,80.51
51,76.84
42,86.38
35,85.24
50,86.88
38,83.99
48,85.11
41,82.63
32,88.07
36,91.26
31,88.12
40,81.40
30,87.53
31,86.96
54,85.43
47,84.22
37,84.48
37,88.14
43,83.63
32,81.42
51,74.64
41,82.82
36,85.03
42,87.91
38,84.91
43,85.08
50,88.50
51,86.66
37,87.06
43,91.65
47,92.17
45,89.52
55,86.61
47,84.60
42,88.54
46,87.94
37,85.96
31,89.25
40,87.72
43,86.83
51,89.05
49,92.71
78,66.67
58,71.27
49,91.13
56,90.90
45,93.27
51,95.59
81,68.70
82,53.56
87,52.32
98,44.32
114,38.60
102,35.69
99,36.15
99,41.95
92,44.28
112,40.73
107,34.79
86,46.45
113,46.63
110,32.08
96,38.09
113,42.64
99,33.74
97,38.88
92,44.35
100,44.79
125,30.77
113,30.21
84,38.56
60,56.53
52,72.63
64,74.15
59,74.45
50,83.16
51,93.82
51,94.85
95,64.44
80,45.22
65,59.41
63,65.60
39,69.27
42,83.62
58,81.37
55,80.22
48,85.21
54,80.65
41,74.08
46,87.16
46,86.31
45,88.63
43,84.23
35,83.27
45,84.25
53,81.36
39,83.94
49,88.72
42,89.17
54,81.28
52,82.81
46,87.00
36,83.59
41,84.11
46,82.47
40,86.11
40,82.75
30,87.06
31,91.73
55,81.38
43,82.76
44,85.72
34,84.20
34,89.27
57,83.67
38,79.69
35,81.97
51,84.82
48,86.70
53,92.13
57,84.84
54,72.74
44,91.37
43,91.16
61,84.90
63,74.76
45,84.19
44,91.16
44,87.27
50,86.56
56,86.58
50,89.94
53,86.65
49,83.88
54,82.83
44,79.58
49,80.76
34,84.78
38,87.15
55,77.47
58,71.15
38,76.31
29,89.49
41,85.70
43,82.29
36,83.12
39,87.44
43,86.73
35,87.19
57,80.94
60,75.94
52,78.43
50,82.73
42,86.62
48,83.19
52,78.31
41,85.63
30,87.45
29,88.37
55,83.80
49,80.45
37,82.94
36,87.62
39,89.39
39,83.50
37,82.23
34,86.91
46,81.56
39,83.63
58,83.41
53,80.73
32,85.63
34,87.17
42,89.35
51,83.60
43,82.15
45,82.38
40,82.66
34,87.09
45,87.54
48,87.64
55,77.03
40,85.94
62,85.91
56,85.97
61,89.09
74,68.03
84,56.90
87,47.37
72,49.68
56,72.53
56,88.21
56,78.06
49,81.11
33,84.09
22,90.67
31,87.34
27,90.14
20,91.16
25,90.81
21,90.79
32,90.93
25,91.08
24,89.82
30,89.49
25,87.12
25,92.15
21,87.96
24,92.04
35,88.30
34,88.50
25,91.18
36,88.26
23,84.88
43,86.36
45,86.47
37,86.75
41,82.58
38,86.91
56,84.38
39,78.27
39,79.62
40,81.30
40,86.44
53,82.93
43,85.34
35,90.50
39,83.61
39,81.68
50,84.53
37,83.10
24,88.09
54,81.58
43,80.67
54,81.99
42,85.47
25,86.31
55,85.86
59,82.98
62,77.37
44,77.13
39,94.83
48,93.12
52,90.68
50,87.87
61,89.17
56,81.21
7,85.69
19,67.32
22,148.89
20,149.39
20,147.86
1,150.13
23,68.70
27,147.81
27,142.90
24,145.43
1,150.67
21,64.41
19,142.91
23,147.11
22,144.29
0,142.57
20,59.87
19,145.50
22,145.79
18,144.57
17,146.15
30,87.45
28,140.97
27,138.62
26,147.15
19,147.65
21,105.88
24,147.12
25,143.23
29,145.74
0,141.19
21,67.01
29,146.44
20,140.23
17,151.06
0,148.02
26,62.58
24,141.39
35,137.69
14,137.21
0,115.64
23,67.79
26,147.00
20,142.64
24,148.80
0,99.22
25,64.78
22,140.81
24,144.49
25,143.60
0,119.69
20,69.65
18,149.50
32,148.08
18,147.31
0,137.54
21,60.98
24,140.83
24,137.72
25,142.40
19,144.02
32,100.59
23,148.72
28,150.94
28,146.70
0,78.78
25,61.90
23,143.12
30,140.70
22,141.40
0,142.42
18,68.64
28,145.41
19,140.72
15,149.89
10,150.93
18,78.79
24,145.28
26,144.18
16,148.69
0,150.27
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
