flow,speed
0,0.00
24,66.76
41,88.13
26,92.12
38,91.97
51,85.63
42,70.08
19,71.25
22,89.32
30,93.57
28,92.31
31,89.93
25,84.84
21,94.03
30,91.17
27,92.35
31,91.55
19,89.66
22,94.16
24,92.46
27,91.36
17,95.21
24,93.22
31,89.89
31,89.81
14,92.64
33,90.06
32,88.66
26,88.88
26,91.71
19,91.42
28,91.92
36,90.80
26,91.76
30,91.23
21,94.49
25,87.96
25,90.29
32,90.89
32,87.56
28,87.98
13,91.85
33,90.51
34,85.30
45,82.44
38,85.00
27,88.30
30,91.79
25,90.21
39,85.36
27,89.26
18,88.02
35,89.41
21,91.86
28,90.69
31,89.59
34,86.11
24,90.56
20,94.34
13,91.95
30,90.82
25,91.83
22,93.77
14,91.52
28,88.71
23,89.53
33,86.97
30,89.10
24,90.84
22,89.17
13,95.41
24,89.40
30,90.11
32,92.62
30,89.66
34,88.47
21,92.64
20,94.13
28,93.90
28,91.85
20,92.63
30,89.93
29,91.73
28,91.95
34,89.26
44,85.05
17,90.25
37,89.54
13,91.42
28,87.28
22,93.87
31,92.59
23,91.44
24,90.05
21,89.09
30,93.27
23,90.33
29,86.08
26,89.58
27,92.47
24,92.42
30,91.17
32,92.26
37,91.19
28,92.49
22,93.63
24,90.68
39,91.42
39,91.21
34,88.60
34,86.65
24,91.54
31,89.15
18,92.80
31,89.22
31,91.71
23,91.04
24,90.25
24,90.68
14,91.25
28,92.10
40,88.93
20,92.10
26,84.71
36,92.08
21,91.75
15,93.54
46,88.73
25,89.62
40,77.01
22,84.79
22,91.10
14,91.31
39,81.41
35,91.25
27,90.28
24,93.61
23,91.69
23,91.89
32,93.14
27,94.20
26,91.99
19,89.13
23,93.01
25,90.95
25,85.87
40,87.39
19,87.29
17,94.65
23,94.97
18,94.70
33,89.64
29,93.53
30,90.39
22,90.96
30,88.48
22,91.17
34,89.13
31,92.41
43,89.33
31,83.28
20,88.83
22,90.08
18,92.60
30,87.78
28,87.62
31,90.65
31,87.39
23,90.53
32,89.32
32,90.37
43,83.93
22,88.05
36,86.49
23,82.81
19,93.07
25,89.28
39,86.99
29,89.23
37,87.21
18,92.33
31,87.25
24,89.53
20,91.80
31,89.64
37,87.85
41,81.84
23,81.40
25,91.98
25,91.42
31,87.19
28,87.63
33,90.09
25,91.05
20,90.34
20,90.60
31,88.57
43,87.26
24,88.83
34,90.31
26,88.65
30,87.13
33,87.41
32,89.42
53,80.74
40,76.97
15,85.47
26,89.82
18,88.19
20,90.95
34,90.91
30,90.09
17,89.35
43,82.80
21,91.62
26,93.15
33,89.17
33,86.35
39,86.73
21,88.06
23,89.64
27,88.19
35,92.91
25,86.61
34,88.91
30,92.39
24,90.37
21,89.61
36,90.02
44,86.74
40,88.04
36,79.96
26,80.57
40,91.60
44,88.24
38,83.92
17,87.07
46,81.47
26,88.76
32,87.37
50,88.23
39,77.01
22,81.89
23,88.24
34,90.75
31,89.53
40,85.48
55,83.97
22,70.59
29,86.23
26,86.35
25,90.72
42,89.04
35,85.04
36,83.70
40,87.55
35,90.73
40,86.57
40,88.00
33,89.77
33,88.99
35,89.55
68,87.33
66,61.21
34,77.76
40,87.58
46,87.64
68,73.74
50,54.39
33,77.59
16,91.36
33,89.59
45,86.93
54,82.78
32,88.47
25,92.28
20,88.27
53,87.05
51,83.14
18,86.53
19,86.87
41,84.20
32,90.08
48,88.29
32,89.12
37,88.51
30,84.41
33,89.22
35,88.75
25,88.89
38,89.37
40,88.09
56,84.67
37,86.52
34,83.15
39,88.45
40,85.88
28,87.85
42,87.66
23,85.22
33,90.87
21,88.98
27,88.87
36,85.25
23,88.95
26,93.06
25,93.22
31,90.20
52,87.96
28,86.30
37,87.20
26,89.49
31,88.43
42,88.17
40,85.06
42,82.62
37,88.23
41,86.94
35,90.06
33,89.79
39,85.21
34,86.20
44,86.78
35,82.47
34,95.37
46,91.29
36,79.78
67,76.07
95,55.29
55,45.06
41,82.00
32,85.65
38,88.08
38,86.93
35,86.71
34,84.13
26,88.08
40,85.89
39,81.27
33,92.24
22,89.52
30,89.57
34,92.23
31,91.74
53,88.73
36,83.01
38,80.23
34,81.58
22,86.48
35,90.36
56,85.76
44,71.42
46,76.90
32,88.54
36,91.50
34,89.41
39,88.85
56,85.16
22,86.16
26,84.73
37,89.21
29,89.21
35,88.89
47,77.73
27,85.56
31,90.83
37,89.20
34,87.66
43,88.00
41,87.58
33,90.21
26,88.43
27,88.51
28,93.77
42,88.54
45,85.86
28,82.07
46,88.03
27,90.16
43,87.98
47,82.61
51,71.37
32,74.92
41,93.09
34,94.08
58,90.37
61,89.81
45,67.03
37,80.13
48,91.60
48,87.99
56,75.87
57,60.32
40,86.11
29,92.12
32,92.23
43,88.94
36,83.08
25,87.48
22,93.57
31,87.07
35,90.22
29,92.07
46,87.76
24,91.37
25,92.02
31,91.20
40,88.90
39,82.59
35,88.65
