flow,speed
74,78.08
76,81.23
83,80.60
85,81.61
55,81.53
68,82.28
66,80.97
60,81.80
47,83.70
59,82.91
78,81.40
76,80.01
60,79.94
60,79.56
57,82.02
68,80.66
57,81.88
60,78.88
47,82.52
48,84.40
66,81.83
72,81.99
66,79.01
61,81.42
53,80.53
77,80.72
59,82.44
58,82.23
64,81.00
69,80.37
84,80.69
72,80.72
65,81.55
54,83.06
72,80.27
72,79.56
72,82.35
67,80.82
60,78.61
59,79.12
86,78.79
72,79.80
70,81.05
61,82.45
62,83.10
74,80.42
68,80.16
55,82.03
48,81.43
65,78.34
70,80.04
60,80.19
56,81.21
52,84.28
55,81.82
72,82.25
64,79.82
62,79.56
52,82.55
48,83.00
57,83.97
68,80.70
50,80.14
50,82.17
53,79.79
58,82.85
52,82.64
52,80.53
53,77.23
65,81.99
67,80.96
70,80.07
59,83.44
70,81.70
70,80.90
91,81.55
85,78.08
71,78.97
60,81.29
55,81.26
69,78.44
51,84.48
56,83.40
52,82.66
57,81.61
77,81.05
64,80.75
52,84.13
71,79.99
51,81.64
72,82.22
87,80.80
59,80.89
59,82.54
61,82.34
87,81.18
82,78.55
58,82.37
60,80.83
72,78.13
74,80.12
58,79.19
55,81.00
62,80.29
54,79.91
59,81.64
75,77.90
58,80.40
60,80.43
54,81.90
81,79.84
55,80.77
57,83.51
64,81.74
66,82.13
76,81.21
61,80.77
53,81.63
59,80.88
54,81.65
71,84.09
67,81.76
60,80.68
52,82.40
56,80.83
65,82.41
62,81.67
56,82.27
56,81.69
62,81.01
68,80.50
63,81.43
52,81.15
48,80.50
55,81.63
74,82.10
67,82.13
53,82.57
59,83.17
68,78.36
76,80.35
64,79.18
58,81.36
69,80.56
61,81.21
68,83.23
67,83.03
61,80.15
53,82.05
59,80.71
65,83.85
67,79.31
56,81.71
68,81.39
62,81.80
87,81.58
84,78.52
71,79.32
75,80.43
77,81.22
81,77.30
74,79.42
55,81.90
60,81.58
47,81.85
75,80.18
65,80.65
56,81.06
64,81.32
59,81.71
71,81.12
89,77.51
56,81.43
52,84.60
60,79.78
72,78.47
57,79.70
70,81.04
72,83.09
58,81.84
85,80.60
79,79.29
71,82.25
78,80.41
73,78.79
83,80.25
89,76.95
80,77.37
60,78.78
55,82.88
71,80.65
60,79.26
61,80.93
64,81.51
69,81.30
87,80.29
80,79.67
66,82.65
57,82.43
75,81.17
91,80.38
95,75.89
72,76.05
81,79.74
71,80.89
83,81.22
77,78.15
73,81.75
68,80.64
63,81.11
84,79.08
75,81.06
67,79.73
64,80.59
73,80.36
79,78.16
76,75.31
68,80.38
65,82.05
61,82.53
80,83.71
67,83.45
62,82.01
67,81.88
64,82.00
87,81.29
79,80.06
66,82.37
62,81.79
82,81.81
86,81.25
74,80.72
70,79.94
69,81.63
73,79.45
82,79.72
74,79.30
57,80.61
72,83.33
78,85.68
79,85.69
80,85.22
69,88.19
74,85.08
78,86.36
95,83.52
93,83.98
82,84.16
73,82.46
91,78.34
69,79.49
77,80.56
67,82.89
75,83.73
64,82.39
87,79.88
78,80.26
73,82.20
98,78.60
85,76.43
79,81.76
83,80.66
68,80.26
69,82.50
77,82.70
84,82.92
78,80.71
64,83.56
79,83.23
87,80.57
95,79.58
78,80.13
57,85.07
67,85.18
92,81.16
96,78.45
104,72.54
68,72.91
71,83.62
76,83.29
88,81.93
99,78.05
87,77.93
86,80.32
61,81.50
92,81.59
91,80.08
70,82.88
58,84.22
64,79.20
93,79.91
84,79.23
75,81.61
77,83.12
98,79.25
87,81.41
102,77.97
80,78.95
73,87.39
89,88.04
103,86.97
87,86.71
67,89.89
54,86.40
90,83.83
98,80.43
99,77.32
76,80.85
83,81.05
81,78.71
89,81.72
85,79.48
72,81.62
83,80.49
62,82.45
89,82.18
90,82.95
73,84.77
53,84.72
66,83.86
80,81.82
80,76.94
72,79.63
70,80.50
76,80.67
104,77.88
79,80.63
65,83.70
72,83.65
80,84.12
90,80.68
75,77.88
76,79.12
83,79.60
73,78.25
85,78.30
96,73.83
70,78.31
58,81.75
71,80.53
75,80.97
80,79.44
56,80.42
66,82.35
80,78.25
86,76.08
98,79.40
89,79.28
93,81.35
64,79.98
107,80.85
102,76.68
90,83.10
89,85.95
93,86.68
94,87.13
96,84.28
85,84.28
88,83.56
68,85.48
90,83.94
92,81.09
76,80.53
84,81.43
68,81.78
87,82.18
90,77.44
81,78.13
83,80.29
61,81.32
89,79.91
88,79.12
77,81.21
61,82.83
71,80.02
78,81.03
80,80.78
74,81.56
74,81.46
87,82.62
91,80.28
79,80.67
72,82.61
73,81.48
65,82.42
77,81.29
65,82.12
70,83.66
74,80.64
82,81.88
88,80.41
73,79.41
62,81.76
83,80.46
60,80.63
74,82.12
71,79.79
74,81.58
67,80.17
71,82.68
87,80.10
88,81.02
76,81.05
80,82.53
85,83.43
84,82.99
84,82.04
78,81.76
84,82.30
85,82.22
96,82.50
100,80.43
78,82.08
76,80.75
81,80.92
93,80.00
95,78.59
75,78.90
69,81.32
76,85.57
89,79.09
98,75.18
70,79.71
80,82.35
58,79.40
105,81.35
87,77.17
50,80.47
51,82.18
50,82.11
69,82.18
49,80.89
47,80.27
44,79.77
46,81.46
72,81.80
62,80.21
52,80.90
55,80.61
53,80.44
71,81.36
44,81.50
51,81.25
50,83.43
60,81.25
62,80.98
45,82.65
59,80.88
72,80.23
61,80.03
83,79.26
62,78.89
63,83.00
70,82.26
69,82.46
76,78.43
78,78.70
77,80.17
86,79.48
83,80.54
61,78.73
68,78.50
61,80.28
57,82.63
67,82.03
86,81.61
82,80.24
55,79.85
77,81.54
60,82.20
87,80.54
87,84.83
89,86.96
92,87.08
77,87.64
92,87.84
90,87.20
94,87.76
83,86.65
88,78.88
63,82.99
75,78.51
62,79.73
76,82.39
67,83.01
77,81.94
79,80.67
63,80.54
87,80.38
79,80.59
99,77.38
81,75.13
56,82.69
69,85.17
79,81.19
80,80.90
70,82.33
60,82.61
69,84.72
78,81.71
85,80.49
72,81.99
61,82.06
67,81.06
87,81.15
76,80.81
69,83.46
92,81.88
80,80.21
74,82.68
81,81.17
77,81.98
64,82.51
68,82.55
73,81.05
86,78.95
92,79.42
65,78.78
72,81.70
75,82.71
80,80.22
56,81.68
64,82.45
73,84.41
71,84.64
84,84.02
66,80.88
77,85.47
75,83.28
51,82.43
87,80.43
92,80.49
76,81.78
78,83.48
75,82.38
89,79.47
65,81.59
89,79.90
84,78.25
100,80.78
92,78.74
83,80.09
84,82.82
74,79.00
44,85.63
0,54.47
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
