time,speed,nfbVD-N1-S-88.060-M-LOOP,nfbVD-N1-S-90.000-M-LOOP,nfbVD-N1-S-91-I-WS-1-竹北,nfbVD-N1-S-91-I-WS-2-竹北,nfbVD-N1-S-91-O-NE-2-竹北,nfbVD-N1-S-91-O-NW-1-竹北,nfbVD-N1-S-91.180-N-LOOP,nfbVD-N1-S-91.825-M-RS,shoulder
00:00:00,84.67,361,378,25,18,12,48,329,321,0
00:05:00,84.67,368,374,22,13,13,37,349,347,0
00:10:00,92.0,360,362,20,15,18,36,328,345,1
00:15:00,88.67,234,274,24,17,9,30,283,297,0
00:20:00,93.67,213,209,20,10,12,25,194,216,0
00:25:00,95.33,183,187,16,11,10,28,156,160,0
00:30:00,94.33,190,204,17,10,7,21,172,178,0
00:35:00,95.0,213,197,17,15,7,15,192,190,0
00:40:00,95.0,207,204,19,10,8,24,183,197,0
00:45:00,93.0,185,193,18,15,6,19,174,175,0
00:50:00,96.0,187,182,12,9,11,17,161,172,0
00:55:00,93.67,165,170,16,9,10,19,171,186,0
01:00:00,91.33,186,194,10,10,5,12,162,161,0
01:05:00,93.0,169,167,18,12,6,19,155,166,0
01:10:00,95.67,130,142,13,9,6,17,142,150,0
01:15:00,94.0,141,145,12,8,6,14,126,127,0
01:20:00,92.67,116,121,13,12,1,9,114,130,0
01:25:00,94.33,182,165,13,9,6,16,143,130,0
01:30:00,99.0,126,127,22,13,5,13,128,155,1
01:35:00,95.67,128,132,8,4,3,9,121,123,0
01:40:00,95.0,133,132,5,3,6,12,123,135,0
01:45:00,95.0,110,124,10,6,6,14,96,111,0
01:50:00,94.33,122,109,7,5,4,8,96,102,0
01:55:00,94.67,100,108,9,5,1,9,108,115,0
02:00:00,93.33,108,108,6,4,5,9,96,106,0
02:05:00,95.0,112,107,7,5,5,14,105,113,0
02:10:00,97.67,105,113,9,6,4,10,104,117,0
02:15:00,94.0,111,112,5,3,2,7,94,94,0
02:20:00,74.25,96,88,9,7,5,5,84,95,1
02:25:00,95.0,94,92,7,7,7,14,89,108,0
02:30:00,94.67,93,101,10,7,1,10,93,100,0
02:35:00,93.33,88,83,15,8,2,5,85,93,0
02:40:00,73.5,84,83,3,4,1,9,72,73,1
02:45:00,96.67,99,109,5,4,4,14,89,97,0
02:50:00,94.33,81,81,2,1,0,7,79,80,0
02:55:00,97.33,83,83,4,1,2,8,79,80,0
03:00:00,96.0,81,87,8,6,0,4,86,93,0
03:05:00,94.33,98,94,8,8,1,8,83,86,0
03:10:00,95.33,90,84,7,5,4,8,72,94,0
03:15:00,93.67,100,103,5,5,0,11,92,90,0
03:20:00,97.0,98,95,7,3,6,3,90,118,0
03:25:00,97.67,96,107,6,4,4,7,99,110,0
03:30:00,93.33,106,95,14,6,1,3,92,87,0
03:35:00,94.67,98,100,4,3,1,5,93,84,0
03:40:00,93.0,113,102,2,2,1,7,99,96,0
03:45:00,97.0,78,94,13,8,1,3,95,101,0
03:50:00,98.67,101,77,7,7,2,5,77,95,0
03:55:00,96.67,109,94,9,6,2,7,102,101,0
04:00:00,94.0,110,107,9,6,0,9,101,117,0
04:05:00,94.33,129,121,10,2,2,7,115,125,0
04:10:00,76.25,123,127,8,4,3,10,114,131,1
04:15:00,95.67,113,115,11,9,3,8,104,103,0
04:20:00,92.0,124,119,14,7,3,9,115,133,0
04:25:00,98.67,122,131,10,7,4,8,120,124,0
04:30:00,96.0,134,123,10,8,1,5,118,132,0
04:35:00,95.33,149,146,16,8,2,5,133,136,0
04:40:00,95.0,146,145,15,7,2,5,160,177,0
04:45:00,97.33,155,169,15,11,2,12,148,150,0
04:50:00,95.67,181,166,14,11,1,11,138,136,0
04:55:00,96.33,193,193,12,8,0,12,192,202,0
05:00:00,97.67,177,190,19,15,2,9,178,189,0
05:05:00,98.67,217,196,15,9,0,8,185,187,0
05:10:00,100.67,190,192,32,22,5,17,186,202,0
05:15:00,98.67,221,228,28,18,3,16,198,208,0
05:20:00,97.33,239,219,19,11,4,15,215,228,0
05:25:00,99.0,231,244,21,17,2,14,202,216,0
05:30:00,77.5,257,266,21,16,8,21,237,227,1
05:35:00,100.67,258,236,23,21,6,16,239,227,0
05:40:00,97.67,294,302,28,17,12,26,274,290,0
05:45:00,95.33,331,324,43,35,6,19,279,303,0
05:50:00,96.67,349,344,34,18,8,24,337,324,0
05:55:00,92.33,399,379,35,25,6,23,332,364,0
06:00:00,98.0,402,403,39,27,11,19,392,375,4
06:05:00,99.25,364,394,42,36,10,25,370,384,11
06:10:00,91.5,397,401,44,25,13,29,360,382,19
06:15:00,94.5,436,418,40,33,11,33,373,398,24
06:20:00,96.0,462,440,58,37,15,34,388,411,27
06:25:00,96.75,415,423,56,31,14,32,425,453,14
06:30:00,93.5,434,417,56,43,5,22,380,416,24
06:35:00,93.5,470,486,61,40,17,32,443,455,40
06:40:00,92.25,480,447,79,43,14,31,429,492,46
06:45:00,92.25,468,457,77,65,15,28,429,462,33
06:50:00,89.25,483,455,72,60,19,34,391,447,35
06:55:00,76.25,506,488,86,45,20,44,419,479,64
07:00:00,62.25,521,491,75,54,21,47,431,463,114
07:05:00,71.5,539,471,77,57,24,54,371,461,127
07:10:00,63.5,462,463,62,50,24,45,415,474,79
07:15:00,44.75,493,464,65,36,20,49,373,421,137
07:20:00,51.75,473,470,75,46,28,54,407,445,93
07:25:00,45.25,472,459,72,45,26,56,405,460,122
07:30:00,52.0,485,479,70,41,24,55,389,446,115
07:35:00,49.5,399,478,71,52,24,58,406,428,75
07:40:00,46.75,439,444,64,37,23,53,374,424,94
07:45:00,58.5,456,442,83,62,17,53,394,424,75
07:50:00,59.0,452,469,84,54,34,72,407,474,87
07:55:00,58.25,448,471,83,55,20,59,395,451,90
08:00:00,65.75,461,474,73,44,25,50,388,457,72
08:05:00,66.5,445,434,76,55,17,41,409,457,70
