flow,out,speed,shoulder
452,45,93.38,33
449,45,93.75,33
448,49,95.12,33
448,53,96.5,34
415,66,95.0,30
445,71,94.75,40
425,82,88.25,37
402,65,48.25,71
345,45,26.0,100
325,63,24.25,117
294,83,22.0,102
332,58,31.25,112
360,56,32.25,114
374,55,32.75,115
389,54,33.25,117
396,62,33.0,121
299,44,20.0,116
316,48,20.5,115
333,52,21.0,114
313,52,19.0,108
359,56,28.0,111
405,61,37.0,115
376,47,25.75,131
337,55,27.25,96
376,47,31.25,121
417,55,33.5,132
369,47,20.75,113
382,55,24.62,113
395,63,28.5,114
365,60,25.5,96
336,58,22.5,78
374,55,22.25,117
385,65,25.0,120
431,72,28.75,125
431,72,28.75,125
435,63,38.0,105
375,54,25.0,123
428,60,32.5,101
332,55,23.75,110
430,67,33.5,134
440,70,42.25,105
427,80,30.75,136
390,60,37.75,119
435,78,41.25,126
412,80,33.25,115
426,58,40.5,117
462,61,39.5,123
447,60,41.75,119
