time,speed,nfbVD-N1-S-88.060-M-LOOP,nfbVD-N1-S-90.000-M-LOOP,nfbVD-N1-S-91-I-WS-1-竹北,nfbVD-N1-S-91-I-WS-2-竹北,nfbVD-N1-S-91-O-NE-2-竹北,nfbVD-N1-S-91-O-NW-1-竹北,nfbVD-N1-S-91.180-N-LOOP,nfbVD-N1-S-91.825-M-RS,shoulder
00:00:00,94.33,242,238,46,32,11,26,210,244,0
00:05:00,97.75,268,257,28,22,7,24,233,228,1
00:10:00,74.0,243,265,34,24,7,20,248,259,1
00:15:00,95.67,277,259,21,16,14,30,237,227,0
00:20:00,94.0,275,276,31,19,12,33,248,265,0
00:25:00,95.33,267,266,24,13,4,22,247,260,0
00:30:00,97.33,225,247,19,18,11,26,216,223,0
00:35:00,95.0,228,228,22,15,7,25,199,197,0
00:40:00,97.33,234,252,13,10,8,20,232,231,0
00:45:00,98.67,183,200,15,15,11,18,177,169,0
00:50:00,97.34,212,210,19,15,9,18,190,189,0
00:55:00,96.0,242,221,24,15,8,19,203,209,0
01:00:00,97.33,227,237,8,4,6,15,207,195,0
01:05:00,96.0,200,207,20,14,6,13,179,208,0
01:10:00,94.67,212,209,10,9,4,18,201,191,0
01:15:00,97.33,170,183,21,16,6,19,181,177,0
01:20:00,92.33,232,225,14,11,7,20,193,189,0
01:25:00,96.5,206,197,12,9,5,17,174,174,0
01:30:00,98.59,193,183,11,8,4,16,165,166,0
01:35:00,99.63,187,176,10,7,4,15,160,162,0
01:40:00,100.67,181,169,10,7,4,15,156,159,0
01:45:00,100.67,169,174,8,10,7,18,162,147,0
01:50:00,98.17,158,165,9,9,5,15,152,146,0
01:55:00,95.67,148,156,11,8,4,12,142,146,0
02:00:00,96.33,166,162,15,13,10,18,134,143,0
02:05:00,96.0,145,152,14,10,3,11,145,145,0
02:10:00,97.0,160,155,7,6,1,8,151,141,0
02:15:00,98.0,124,127,8,8,1,7,127,136,0
02:20:00,96.33,137,124,6,6,2,12,113,121,0
02:25:00,98.67,127,130,9,8,4,8,131,140,0
02:30:00,97.0,116,130,13,7,4,11,116,125,0
02:35:00,96.84,135,144,11,7,5,15,127,143,0
02:40:00,96.67,155,158,9,7,6,19,139,161,0
02:45:00,98.33,141,141,8,4,7,17,128,131,0
02:50:00,100.5,134,140,6,5,4,11,134,130,0
02:55:00,102.67,128,140,5,6,1,5,141,129,0
03:00:00,99.33,142,120,13,11,3,7,114,114,0
03:05:00,99.0,136,131,11,9,0,5,133,147,0
03:10:00,102.67,135,142,10,7,2,11,141,134,0
03:15:00,101.0,111,103,11,7,3,11,100,117,0
03:20:00,100.67,120,128,11,9,2,5,119,111,0
03:25:00,100.67,120,128,11,9,2,5,119,111,0
03:30:00,100.33,140,134,11,6,4,7,117,122,0
03:35:00,99.33,162,151,18,13,1,5,153,156,0
03:40:00,95.33,139,136,10,4,3,14,136,138,0
03:45:00,97.33,142,145,7,4,3,10,145,144,0
03:50:00,99.33,145,155,5,5,3,7,155,150,0
03:55:00,99.33,145,155,5,5,3,7,155,150,0
04:00:00,96.0,181,173,6,5,0,7,156,130,0
04:05:00,99.67,138,145,13,11,0,10,156,166,0
04:10:00,100.0,159,162,13,9,4,7,149,145,0
04:15:00,99.25,179,181,12,7,1,11,157,163,1
04:20:00,99.29,181,179,14,7,1,9,162,169,0
04:25:00,99.33,183,177,16,8,1,7,168,176,0
04:30:00,93.67,198,180,19,8,0,10,162,186,0
04:35:00,96.33,207,212,16,9,4,12,234,208,0
04:40:00,102.0,240,250,15,10,4,13,234,211,1
04:45:00,97.5,262,267,14,12,5,15,243,227,0
04:50:00,93.0,285,285,14,14,6,17,252,243,0
04:55:00,94.67,254,260,22,14,5,15,248,253,0
05:00:00,98.0,258,264,10,9,10,19,244,214,0
05:05:00,96.84,277,278,13,8,7,22,265,245,0
05:10:00,95.67,297,292,17,8,4,25,287,276,0
05:15:00,95.67,297,292,17,8,4,25,287,276,0
05:20:00,92.0,337,321,22,12,3,8,304,302,0
05:25:00,92.34,336,313,21,12,3,10,299,291,0
05:30:00,92.67,335,306,20,13,3,13,295,281,0
05:35:00,93.84,329,323,27,16,6,17,303,310,0
05:40:00,95.0,324,340,35,20,9,21,312,339,0
05:45:00,90.67,337,354,31,22,4,17,337,347,0
05:50:00,88.67,307,325,40,29,4,15,282,316,0
05:55:00,91.67,326,329,24,16,0,5,355,344,0
06:00:00,91.75,350,326,29,16,4,11,324,316,7
06:05:00,92.0,343,323,35,22,6,16,353,360,11
06:10:00,88.25,437,415,40,25,5,20,349,343,30
06:15:00,92.25,385,425,47,34,3,17,405,405,25
06:20:00,95.5,384,371,56,40,7,22,371,416,18
06:25:00,92.25,421,394,58,38,5,19,390,408,27
06:30:00,93.5,424,382,55,34,5,28,366,439,18
06:35:00,97.5,361,422,72,49,8,20,401,428,27
06:40:00,92.75,418,393,72,53,7,18,346,382,25
06:45:00,99.0,377,390,68,40,14,22,416,447,24
06:50:00,95.25,413,422,59,38,12,21,405,428,29
06:55:00,91.5,450,455,50,37,11,20,395,410,35
07:00:00,97.0,414,398,73,43,9,26,355,398,37
07:05:00,96.0,405,426,59,45,9,35,397,446,24
07:10:00,97.5,405,390,58,37,14,36,368,404,18
07:15:00,96.75,392,377,49,26,6,28,352,417,29
07:20:00,96.25,410,384,68,40,16,35,398,414,32
07:25:00,95.5,402,401,62,39,12,31,373,409,29
07:30:00,94.75,394,419,57,39,9,27,348,405,26
07:35:00,94.75,402,432,59,43,12,25,368,422,22
07:40:00,96.0,380,408,62,43,12,34,343,395,21
07:45:00,97.25,359,384,65,43,12,44,318,369,20
07:50:00,98.25,385,390,65,39,14,37,335,381,16
07:55:00,96.25,362,391,58,39,8,28,347,381,17
07:60:00,96.0,384,379,59,34,9,35,350,377,21
08:05:00,95.75,406,368,61,30,11,43,354,374,26
08:10:00,92.75,415,444,60,38,17,40,365,391,20
08:15:00,95.12,396,437,53,34,16,40,351,387,22
08:20:00,97.5,378,431,47,30,15,40,337,383,25
08:25:00,95.75,397,429,67,45,11,40,369,370,26
08:30:00,95.5,382,370,68,46,19,32,359,417,16
08:35:00,96.38,381,368,68,44,19,35,341,405,16
08:40:00,97.25,381,366,68,43,19,39,324,394,16
08:45:00,98.5,341,343,68,42,20,40,341,401,16
08:50:00,95.5,391,343,59,32,13,37,318,342,16
08:55:00,95.0,427,458,85,54,17,45,355,404,32
09:00:00,94.25,409,401,89,50,16,43,360,394,22
09:05:00,94.5,420,448,91,49,31,47,372,443,27
09:10:00,93.75,418,423,84,56,16,45,382,431,34
09:15:00,92.25,461,419,77,48,17,46,410,460,35
09:20:00,93.0,455,454,79,44,17,45,409,460,34
09:25:00,93.38,452,472,80,42,17,45,408,460,33
09:30:00,93.75,449,490,82,41,17,45,408,460,33
09:35:00,95.12,448,475,77,40,19,49,355,408,33
09:40:00,96.5,448,460,72,39,22,53,303,356,34
09:45:00,95.0,415,398,79,51,22,66,252,303,30
09:50:00,94.75,445,374,82,46,22,71,247,318,40
09:55:00,88.25,425,365,79,52,31,82,247,316,37
10:00:00,48.25,402,357,80,47,26,65,243,306,71
10:05:00,26.0,345,313,80,54,15,45,229,294,100
10:10:00,24.25,325,293,75,45,33,63,255,391,117
10:15:00,22.0,294,413,77,48,27,83,331,396,102
10:20:00,31.25,332,434,82,42,30,58,339,384,112
10:25:00,32.25,360,430,80,42,23,56,302,353,114
10:30:00,32.75,374,428,79,42,20,55,284,338,115
10:35:00,33.25,389,426,79,42,17,54,266,323,117
10:40:00,33.0,396,302,79,54,25,62,261,383,121
10:45:00,20.0,299,376,80,57,23,44,275,339,116
10:50:00,20.5,316,361,80,56,20,48,285,359,115
10:55:00,21.0,333,347,80,55,17,52,296,379,114
11:00:00,19.0,313,387,79,53,26,52,361,442,108
11:05:00,28.0,359,380,83,52,25,56,338,416,111
11:10:00,37.0,405,374,87,51,24,61,316,390,115
11:15:00,25.75,376,400,80,52,20,47,338,407,131
11:20:00,27.25,337,398,77,48,22,55,318,385,96
11:25:00,31.25,376,414,79,46,19,47,310,389,121
11:30:00,33.5,417,425,78,52,17,55,365,431,132
11:35:00,20.75,369,457,86,31,20,47,356,405,113
11:40:00,24.62,382,440,83,40,20,55,330,398,113
11:45:00,28.5,395,424,81,50,21,63,305,392,114
11:50:00,25.5,365,360,94,58,18,60,263,418,96
11:55:00,22.5,336,297,108,67,15,58,221,444,78
12:00:00,22.25,374,416,70,40,18,55,322,410,117
12:05:00,25.0,385,444,75,50,24,65,315,391,120
12:10:00,28.75,431,408,74,42,23,72,355,400,125
12:15:00,28.75,431,408,74,42,23,72,355,400,125
12:20:00,38.0,435,429,69,41,30,63,361,412,105
12:25:00,25.0,375,456,66,47,15,54,291,348,123
12:30:00,32.5,428,355,82,48,19,60,336,447,101
12:35:00,23.75,332,444,72,45,17,55,371,414,110
12:40:00,33.5,430,462,72,48,29,67,348,400,134
12:45:00,42.25,440,425,83,60,17,70,335,411,105
12:50:00,30.75,427,462,100,66,39,80,343,416,136
12:55:00,37.75,390,445,76,50,21,60,339,380,119
13:00:00,41.25,435,458,74,49,23,78,365,388,126
13:05:00,33.25,412,496,91,59,38,80,368,450,115
13:10:00,40.5,426,470,81,46,16,58,343,418,117
13:15:00,39.5,462,486,95,64,25,61,331,426,123
13:20:00,41.75,447,481,82,57,18,60,340,425,119
13:25:00,41.0,411,476,93,67,29,66,338,420,84
13:30:00,39.75,404,415,91,64,28,54,350,425,82
13:35:00,55.5,407,494,92,68,21,61,355,438,84
13:40:00,55.5,407,494,92,68,21,61,355,438,84
13:45:00,46.5,435,450,100,63,26,73,352,450,92
13:50:00,65.0,406,440,91,57,16,55,351,432,36
13:55:00,65.5,394,450,93,59,20,62,368,442,46
14:00:00,66.0,383,460,96,61,24,69,385,452,56
14:05:00,81.25,382,514,96,57,20,57,365,447,69
14:10:00,79.25,375,431,81,56,27,68,391,444,53
14:15:00,79.38,381,412,90,61,21,61,373,435,56
14:20:00,79.5,387,393,100,66,16,54,356,426,60
14:25:00,75.25,460,470,93,61,25,68,359,432,70
14:30:00,71.0,534,547,87,56,35,82,362,438,81
14:35:00,59.25,499,486,75,51,29,73,361,420,112
