time,speed,nfbVD-N1-S-88.060-M-LOOP,nfbVD-N1-S-90.000-M-LOOP,nfbVD-N1-S-91-I-WS-1-竹北,nfbVD-N1-S-91-I-WS-2-竹北,nfbVD-N1-S-91-O-NE-2-竹北,nfbVD-N1-S-91-O-NW-1-竹北,nfbVD-N1-S-91.180-N-LOOP,nfbVD-N1-S-91.825-M-RS,shoulder
00:00:00,95.0,257,275,27,16,17,26,256,250,0
00:05:00,94.67,245,260,30,15,9,33,229,242,0
00:10:00,95.33,250,243,26,20,9,24,215,237,0
00:15:00,96.67,270,249,22,15,7,21,230,241,0
00:20:00,96.67,253,261,38,24,12,23,231,250,0
00:25:00,95.67,245,248,20,15,10,27,224,229,0
00:30:00,96.0,252,224,22,15,7,20,215,234,0
00:35:00,99.0,206,234,23,14,5,26,199,220,0
00:40:00,93.67,269,252,16,12,4,19,221,204,0
00:45:00,98.33,225,237,20,13,8,18,238,249,0
00:50:00,98.33,212,228,16,10,9,21,221,226,0
00:55:00,98.33,200,219,12,7,11,24,205,203,0
01:00:00,99.33,197,184,21,12,8,18,162,175,0
01:05:00,98.33,204,223,11,7,6,14,196,171,0
01:10:00,99.33,200,207,15,9,4,11,180,171,0
01:15:00,100.33,196,191,19,11,3,8,165,172,0
01:20:00,98.0,176,176,18,15,7,15,177,187,0
01:25:00,97.0,165,171,13,12,3,15,140,143,0
01:30:00,101.33,178,187,11,7,8,17,184,164,0
01:35:00,99.33,154,158,13,8,4,13,154,154,0
01:40:00,100.67,175,177,16,13,5,11,157,167,0
01:45:00,99.0,153,157,13,10,5,15,146,159,0
01:50:00,99.33,135,125,10,5,5,12,115,116,0
01:55:00,100.0,126,128,10,4,4,13,117,121,0
02:00:00,100.67,117,132,11,4,4,15,119,126,0
02:05:00,100.0,140,131,10,9,8,16,119,117,0
02:10:00,99.0,135,134,7,4,1,2,130,134,0
02:15:00,100.33,145,151,12,11,5,20,137,140,0
02:20:00,97.67,122,118,11,7,2,10,113,122,0
02:25:00,97.67,128,124,9,9,3,7,111,113,0
02:30:00,114.0,107,123,14,11,0,5,132,135,2
02:35:00,98.0,137,129,19,13,2,7,120,133,0
02:40:00,86.25,122,114,9,7,3,7,107,106,3
02:45:00,99.67,132,118,8,8,3,6,104,115,0
02:50:00,102.67,101,123,14,10,3,6,125,142,0
02:55:00,101.0,115,103,4,1,3,7,92,93,0
03:00:00,101.33,134,138,8,6,4,16,116,111,0
03:05:00,100.67,149,139,9,8,3,9,122,122,0
03:10:00,98.33,122,126,15,7,2,6,134,142,0
03:15:00,99.33,112,112,9,9,1,5,115,118,0
03:20:00,102.67,135,130,11,8,2,7,117,109,0
03:25:00,100.33,134,124,12,15,2,12,110,123,0
03:30:00,101.0,146,157,17,7,2,8,146,141,0
03:35:00,102.67,140,135,11,6,4,9,133,136,0
03:40:00,103.0,155,162,16,9,3,12,148,153,0
03:45:00,102.67,130,141,8,7,3,9,133,123,0
03:50:00,100.33,160,158,11,9,3,8,132,134,0
03:55:00,104.67,178,155,14,10,2,14,152,154,0
03:60:00,101.84,183,160,12,10,3,10,150,156,0
04:05:00,99.0,189,166,11,10,4,7,149,159,0
04:10:00,100.0,176,213,16,12,2,9,207,196,0
04:15:00,100.0,199,203,16,12,3,8,190,188,0
04:20:00,100.0,211,198,16,12,3,8,182,184,0
04:25:00,100.0,223,194,17,12,4,8,174,181,0
04:30:00,97.67,240,246,20,10,6,13,229,226,0
04:35:00,98.33,258,252,9,7,5,13,252,240,0
04:40:00,96.66,285,260,14,13,4,13,254,248,0
04:45:00,95.0,312,268,20,19,4,14,257,257,0
04:50:00,96.33,332,339,22,13,6,12,313,301,0
04:55:00,97.0,329,321,24,16,7,18,318,321,0
05:00:00,96.67,303,322,25,19,5,19,294,306,0
05:05:00,95.0,326,328,38,26,7,24,310,299,0
05:10:00,92.33,333,303,26,21,2,16,276,310,0
05:15:00,92.33,387,394,41,25,6,18,366,369,0
05:20:00,95.67,337,350,33,17,11,20,343,378,0
05:25:00,90.67,430,378,32,24,2,13,363,326,0
05:30:00,91.33,378,366,52,36,4,10,371,400,0
05:35:00,72.33,460,405,41,26,8,17,371,373,0
05:40:00,46.33,400,399,48,35,8,23,388,431,0
05:45:00,48.25,482,410,48,33,4,22,401,400,88
05:50:00,57.25,484,432,61,38,11,20,465,470,97
05:55:00,52.5,501,563,50,34,7,21,441,500,114
06:00:00,58.25,525,524,51,35,3,15,410,433,119
06:05:00,48.75,498,500,62,38,6,17,394,429,121
06:10:00,39.25,472,476,73,42,10,19,379,425,124
06:15:00,34.0,394,411,64,39,22,47,307,344,118
06:20:00,23.25,413,317,81,51,14,28,280,352,121
06:25:00,15.75,319,351,78,57,17,33,335,381,96
06:30:00,13.5,303,380,77,51,16,38,326,424,109
06:35:00,17.0,360,366,74,59,15,36,387,455,112
06:40:00,18.75,369,466,65,32,13,29,407,469,111
06:45:00,23.5,405,451,96,51,12,28,374,457,120
06:50:00,28.25,442,436,127,70,11,27,342,445,130
06:55:00,25.75,394,337,122,62,9,21,282,409,128
07:00:00,25.25,353,314,55,22,13,33,315,442,96
07:05:00,18.0,302,369,52,33,14,25,363,404,117
07:10:00,15.75,333,417,41,20,14,28,347,381,115
