flow,out,speed
381,36,17.25
423,29,21.75
372,14,17.75
421,17,24.75
373,24,20.0
409,16,22.0
379,24,22.0
379,14,19.75
397,25,21.0
434,24,25.5
407,32,19.75
355,27,17.75
414,25,27.0
423,32,22.0
409,32,21.25
414,28,22.5
378,31,19.0
408,27,23.75
403,27,26.75
359,30,16.5
351,27,18.25
391,30,21.0
370,34,19.0
345,23,18.25
363,30,16.5
375,30,18.5
336,26,18.25
343,20,14.25
383,38,19.0
381,28,18.25
344,27,15.25
361,29,17.75
370,23,20.5
311,27,13.25
369,31,17.25
362,23,18.25
388,24,22.5
353,37,16.75
385,23,21.25
315,35,14.0
339,32,18.25
443,37,30.5
335,28,16.0
376,35,20.5
401,35,24.75
313,38,18.0
413,34,27.25
349,27,17.0
